,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
38,-24.244048137450793,95.07051781770362,125.90538966894987,-1.0212220483606405,-27.911814647403496,326.639663776389,601.6016575751086,2904.662038688358,-932.3583031569107,-229.01087919020244
39,473.525106710041,-2371.638919951057,696.9929885023615,3156.6638837156465,-416.69400633557734,-6918.080564057107,7520.009810217087,24107.5565401082,-3347.065088928431,-15817.221213268005
40,150.22030649522327,-308.6294033562197,178.50244495643926,832.8696660158004,39.216551438059746,-1533.311983623341,1249.9776770610156,5618.842387938026,-87.96094394763061,-3124.9007021768707
41,198.5054014846129,-163.28934652089063,191.35339316595702,1073.8083694795291,-185.28995569289603,-2004.4308209590033,2435.0531938718836,7298.049689216995,-1073.9380807141297,-6428.486849113383
42,-1075.3119705797303,3989.9635284397427,-999.2205218709989,-6486.263139650486,306.7991586119859,11640.892019985951,-9281.482589986297,-36415.91998246395,1468.2362037542528,23196.455827013746
43,-823.466611148779,2255.416019127104,-650.160625390753,-4169.685065215821,-150.95262686896646,8744.33329782824,-5139.336306690109,-25395.428958584664,218.72058381930393,16809.841723512876
44,132.3809518625492,-595.9294821822964,157.03038966894988,793.3225279516394,-62.661814647403496,-1791.360336223611,1232.6016575751084,4324.662038688358,-121.10830315691062,-2261.0108791902026
45,-697.7496452268681,3340.6504077044565,-624.5865905183091,-3790.969602914042,323.75980959374607,7697.411056675922,-5542.208527141243,-22369.88684796156,2616.797253574983,15574.669325216524
46,297.4387489766484,-1046.9828810389906,66.82859518741492,274.0902593512872,309.53305293606064,-1809.2165570699492,-1649.8661075093148,-1701.8389457944231,2116.5936443327687,2158.147746166841
47,-1355.3692765373125,5222.867239311426,-949.670091790308,-2484.5614096433205,-561.129079189121,12033.656037354813,-8258.915175628317,-26630.641185625416,-3410.2847435697263,15408.055136804673
48,638.5893304414292,-3468.9492240160866,417.2965003409362,518.6882354982044,372.64082363353657,-7086.529591094926,5817.758930144348,9981.699265425576,3309.285820882689,-6571.793498250432
