,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Steen_PercLand_BK,-0.03447008444918983,-0.045115943065720664,0.019885608172268185,-0.08644482382359579,0.03131374942183031,0.005059898921519085,0.03833315958152183,-0.028886845315128043,0.007039256105645642,0.032035654222504026,-0.14049101713070553,0.2044222648915187,0.1104812897966804,0.041200397986939474,-0.2484227304223737,-0.10478203181512401,0.1719508133326231,-0.028408905560276084,0.012659638755231439,0.0017947167453008241,0.12079704226187828,-0.02860950955293183,-0.08270795596715037,-0.025820517949161164,0.04150162733394767,0.06352169300083593,0.029090098508355276,-0.01819290196371879,-0.00981616841917626
Steen_Openbaar_PercOpenbaar_BK,-0.05129637762361004,-0.058941131972883004,0.011992125714125777,-0.08055627325076552,0.03426974841284643,-0.011917533936276311,-0.038253775776913614,-0.006133098020856358,-0.005166616112606832,-0.015748952891496026,-0.14867403038258115,0.1051539370378771,0.021976352359637304,-0.09570687321729517,-0.050891571252355314,-0.031164328456727494,0.04404408383642425,0.03808570365086025,0.043786941494458775,-0.008858068930599055,0.07307108052712312,-0.04261049361660232,-0.08323810375157373,-0.06849837218190986,0.13952941159278556,0.07401065713811,-0.06520901531069251,-0.0864003384062933,0.07547739389888951
Water_VSK_PercTotaal_BK,-0.0038745588449672456,0.0024786918591262496,-0.005568806039098308,0.0003640016807566294,-0.02712410613724841,0.03701618063598275,0.0014838895506223161,-0.03782594672312057,0.10115944088335622,-0.02773895624609156,0.09604471914998078,-0.09428836726959412,0.18525286755090992,0.10228215027107518,0.05602363942428119,0.17971475633095663,-0.10778816441372636,-0.17071132867258623,-0.04466196681397333,0.1285238015420378,0.4802673207531602,-0.08258713581089314,-0.07928432034317487,-0.0819571186040237,-0.06711684343617468,-0.03215690019971274,0.08058856492874002,0.04038158308168969,-0.0987853743324088
Gras_PercLand_BK,0.0136430816177437,0.02509638694243893,-0.008127612444832377,0.012809786788387236,-0.021510744188399,0.07208551130569842,0.03819799566534173,0.07188313044055149,0.10496598626520584,0.009255594054372719,0.15944171962179493,-0.10519538513080319,0.008801085011185246,0.2771296838172828,-0.08059983919980998,-0.013371683838010203,-0.11813733137603424,0.21942032785054164,-0.07951024387457371,-0.011594366109768191,-0.06810659434841662,0.034673563488005904,0.0010518083862487485,-0.039288876268426864,0.10413842136886008,0.05770958565815847,-0.1701873983400544,-0.12624033639628746,-0.06064181646515466
Struiken_PercLand_BK,-0.007451096545122142,-0.0080332804583636,-0.006901208914662796,0.036739443205206994,-0.025995843071690967,0.004300939227772013,0.016096918804294993,0.025662347415716665,-0.0004839544365525757,0.02008096640056399,0.027165069015950893,0.043191189754355576,-0.0005437045947821039,0.09477014403113805,-0.09897063232897464,-0.03080831085638196,-0.1260839639376419,0.09752065395011077,0.0013174407793759772,-0.08619873732812112,-0.027331999942054673,-0.024165889610345583,-0.07241489581486805,-0.20842743473281952,-0.0033133890259214585,-0.19496912178923137,0.09867223481608176,0.15865814732939373,0.3679572273943344
Onverhard_PercLand_BK,0.02359415890210793,0.030253293252470247,-0.018983751538069048,0.0970564758837012,-0.015243449509159913,-0.0513313764117941,-0.006097133968182353,0.014357896323282006,-0.0473757107337948,0.00036266208425669253,0.024610182092722924,-0.09515118007229628,-0.1389917831678349,-0.1834696874209545,0.21166909476533907,0.061169986449893604,-0.07104927572931281,-0.04421180335591834,0.037012533545463036,0.027420920764507507,-0.031528058051135434,-0.034442851838588515,0.03132378079350241,-0.06961536621794642,0.16340390844874358,0.06677165441933611,0.09937584622177752,0.22202186484533978,-0.03717347459017781
Halfverhard_PercLand_BK,-0.0024804845267946277,0.009278319172972426,-0.008248649134675955,0.001623407183825744,-0.00016908137318253017,0.048679314056485935,-0.012979320818421564,0.007766069642958707,0.004338356904724809,-0.021467998308467344,0.07505501379587116,-0.05156736882902168,0.07148359050652639,0.06538323914110325,0.12506076473020072,-0.06101187137649545,0.04650580392788947,0.12183707761167809,-0.08023443071722688,-0.048065714979708164,-0.06691493150147786,0.02915971062505127,-0.25949172270163545,0.3419706102542348,0.017866876153851668,-0.0033765182954586617,-0.01115115487232858,0.4454615070249952,0.005427517354557935
Verhard_PercLand_BK,-0.034462397329689885,-0.045128809716697256,0.01988980156507815,-0.08637403807132119,0.031326609059268276,0.004884511768946414,0.03821205825699263,-0.028901898660947858,0.006729369813180786,0.03212798677207093,-0.14065997431587382,0.20456031155285964,0.11043455700979397,0.040847841168396654,-0.2484593938539766,-0.10492585459455793,0.17203687555052488,-0.028585368617189036,0.0127811511276953,0.0016437460857623859,0.12083137641504997,-0.02866105018581887,-0.08255039382971997,-0.026056710105757143,0.04132216651853534,0.06316254328399581,0.02927985097685217,-0.018109538733964172,-0.009784045456063395
Gebouwen_VSK_PercLand_BK,-0.04617586498851058,-0.054104776739095604,0.011507388458491077,-0.09483996100311143,0.007530187380538307,-0.017020940618900474,-0.0673094660547464,-0.04432575149172207,-0.031273678638844116,-0.07850334886951323,-0.13385328038255573,0.08334512211053127,0.00795982386319053,-0.10332883808606406,-0.03519084864656377,-0.03086815388414323,-0.0479745696180896,0.005204746012528625,0.03698363702955587,-0.06833270692971011,-0.12617118594664367,0.037202114170557736,0.08623882705823926,-0.07031176930149143,-0.13027866944463867,0.059045359604511176,-0.05607083640818547,0.14757707620925983,-0.1398942175623454
Agrarisch_PercLand_BK,0.019787117607837686,0.035305228645047336,-0.013128191562119817,0.01726270692620045,-0.0159658438292941,0.011146578223772772,-0.037674297832561515,-0.04850797827603005,-0.04502367276161976,-0.017786677087848136,0.03355668696592017,-0.09454057308160498,-0.014085545460864164,-0.03789862638584315,0.13535508460420395,0.026686001412877743,0.12299407220742285,-0.1148356259660925,0.04045965835879121,0.0564028463307289,-0.03783698453704669,0.04904340200622587,0.07015252483158528,0.26705059683966703,-0.305168500098149,-0.20420441139937037,-0.03789722905625758,-0.37073321666606596,0.17482387191291515
Gebouwen_ONO_PercLand_BK,-0.04616133614670802,-0.05411918654463442,0.011496816785924215,-0.09494207838302844,0.007376597541915483,-0.016710507537720628,-0.06691156337809681,-0.04411223344028287,-0.030682500180060426,-0.07833138709858645,-0.13425793106239925,0.08334122842196025,0.009310810481534208,-0.10401973947652933,-0.034703832431943644,-0.030709934672813258,-0.047856599582384446,0.00528102744276435,0.03705163594592445,-0.06818826200171307,-0.12573490819388441,0.037260762121719505,0.08716158206034276,-0.06980944639066756,-0.13186551465415206,0.05924858574620261,-0.055724283108898195,0.1464188539319944,-0.14024292354932094
