,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
Mate van stedelijkheid,-0.053297264490061565,-0.7936165909913648,-0.1507224797040392,-0.08435838738687146,-0.009515212505279879,-0.044263527254355985,-0.024946943176232993,0.040720199496758765,-0.059557835154910456,0.14588375669812467
Omgevingsadressendichtheid,0.06371519399762149,0.8270621489683735,0.13438533681362086,0.07490243404253476,0.018441397961127204,0.06513327028011993,-0.02802297005792813,0.07347107495605823,0.06775904451923356,-0.12411073041423036
OBJECTID,-0.044148862389539426,-0.26170827963909543,0.015083264953115067,-0.41922714382815235,0.004759299637354472,-0.12176119701267257,0.012536775117567425,0.12511928903436006,0.005907242768600724,0.008213825583548974
BEV_DICHTH,0.07702243631031933,-0.03332703490250931,0.034927082899795237,0.14044114811083758,0.0730313121195022,0.0020805942392364708,0.004454142817447947,0.10068231441648147,0.022249689217774895,-0.28590685351793405
AANT_INW,0.08498980429975467,0.42474418280760273,0.033528297713335445,0.1772923917897166,0.027948780842098276,0.04613919073051569,0.5825486844392673,-0.19274292274337984,-0.0011432763438872476,-0.17016963896560686
G_WOZ,-0.14841849546243932,-0.596520130418953,-0.027945281707527386,0.006852699773532819,-0.10768872684671953,0.257222193659289,-0.0923277022817223,0.015918463456072823,0.28714545225914273,0.015473670337339793
HuurwTperc,0.08348832692096407,0.7789605545843562,0.0013196843867256112,0.11542999647415297,0.014437048920553176,0.062245787682017995,0.06361380442408272,-0.07003161507587864,-0.05720328401382791,-0.048283471509765814
F18MoeiteMe,0.06793576791192811,0.7344963407494495,-0.009437249203345226,0.039858474443762656,0.027907443916702166,0.06094044233742379,-0.01502345869669593,3.7783752153696e-06,-0.12825580719171542,-0.055299298317215605
Paal_Huidig,-0.017216199999328455,0.19277948556553723,-0.06613752203693912,-0.26374214413052127,-0.10732467542803914,0.08255862452909436,-0.14834882950980932,0.6765481213674447,-0.013470633886485322,-0.048578766336653985
Paal_2050_Laag,-0.021241748995575217,0.1813378304613189,-0.06703804758984507,-0.2703180588445097,-0.107451176837677,0.08002429264770626,-0.15218106502121773,0.6709891932261984,-0.004961616545039121,-0.05179193757021621
Paalrot_2050_Hoog,-0.025746056340177556,0.15313287199486894,-0.06868416168470673,-0.2867193460953246,-0.11321968167688293,0.0757589180974225,-0.15608180250738554,0.6508850813928799,-0.0016056981439378194,-0.05388930366023396
Verschilzetting_2050_Laag,-0.17746590988793892,-0.04734182764417083,-0.04451518608156516,-0.06579200313057687,-0.12288717870461072,0.004923361633810765,-0.017432994625052493,-0.10308540873539775,0.4575100893797407,-0.002528934391924671
Verschilzetting_2050_Hoog,-0.18768156804015174,-0.0581678159833768,-0.04914153892654981,-0.08882629664458248,-0.13983764750218844,0.011593395519440686,-0.022304409725731493,-0.08823517334379426,0.4678534473296023,-0.012499305161062475
perc5_10mm,-0.09162698991027585,0.4130388318817495,-0.0055482179625436535,0.04875599624429252,-0.021564785067471476,0.22652010459771887,-0.0794298750176887,-0.4349351799843107,0.11413119345269372,0.016943984758665993
perc10_15mm,-0.025594580501375867,0.6648399586517876,-0.008016733292575535,0.11453190826529018,0.0040683545802009955,0.10432443345911142,-0.046544070496051804,-0.3849606895949355,-6.337896662033829e-05,-0.007807017140074752
perc15_20mm,0.02361369882254677,0.726073302634355,-0.011356152752604556,0.15027056338665878,0.012861123609082141,0.028782635342285215,-0.0024604829279610617,-0.32302757360566847,-0.09030253837265415,0.03152364548384882
perc20_30mm,0.06720064595532009,0.6020236342907447,-0.03637686451028869,0.17805022425566455,0.020924015519884674,-0.0260618498616033,0.019229539143288555,-0.17187612374136266,-0.1742956489529345,0.18281369550649218
perc30mmME,0.07819800551223512,0.2968451916833283,-0.046463972609001813,0.12481670525860136,0.0022607447644273655,0.0037692683877282346,0.021104137688013235,0.044704357402066776,-0.21913945944572075,0.40215389696503395
percNODATA,0.01776987416685931,-0.636085066318111,0.0029234451915893583,-0.11809783474309704,-0.007043305707868678,-0.11935961012286302,0.053355876869781466,0.393333958966618,0.02359165287957773,-0.07961653290141571
P_H_SOCMIN,0.003372814021643337,0.6069211536010729,-0.00046143939715648404,0.019871367978361806,-0.03906356084740586,0.08748799445976817,-0.02513319849395438,-0.07383620990963091,-0.06207611302839341,-0.11198346108224054
GLGHuidigMean,0.18179308379207937,0.28498073219121617,-0.0046962909318580106,0.2013067274466062,0.0861004154042117,-0.09930506847323708,0.047626068061864014,0.27509894677480173,-0.5668936420507122,0.15100153547506587
GLG2050HoogMean,-0.035387588678008015,-0.1230827078716828,0.011270440752752138,-0.2708642622229728,-0.02612377253312024,0.002584348340503437,0.028663461736417494,0.10529895864754472,0.1745041992600629,0.08946764895248001
GHGMean,0.14392036007457767,0.3299833923069077,-0.02363334528891231,0.26317978479588705,0.0757522319523811,-0.09775192289800297,0.1036960096300092,0.2537274826410835,-0.4520564467082208,0.1654980035068454
HG3MaxHuidig,0.1277944877938702,0.3879696071406876,-0.027560643568862325,0.09165508741571263,0.0691077238758605,-0.11898039801674945,0.1345022406512933,0.24910188042675346,-0.36205838272921204,0.1722914137630998
LG3MaxHuidig,0.18544697237264923,0.2666361181431015,-0.007217278964133601,0.18461344971092872,0.08189182392574239,-0.09120039393547975,0.03395749738130968,0.2725154180159343,-0.5719877829209603,0.1458564984766583
P_schaduw_fw,0.02461883107729066,0.08423650680573119,0.007937959748915232,0.6744881026406241,0.02159086881093657,0.052799949565989907,-0.035961715674199944,0.13700236658835477,-0.07731148892474164,-0.13766461200558297
SUM_Shape_Area,0.07489208029897128,0.20370520654138977,0.048960765363299824,0.1749426668312664,0.010641738492109367,0.41065718672832996,0.5496123689286829,-0.09295139376419195,-0.02284985079654067,0.04065052251145519
Oppervlakte_Totaal_m2,-0.04218421419490719,-0.3312957078138737,-0.041464859654264094,-0.06056864517743773,-0.09767939644777683,0.8886659748230339,0.007060027448558264,0.036228862920561426,0.138102285923852,0.010616592556439862
Oppervlakte_Land_VSK_m2,-0.032063854241655754,-0.33056519840578363,-0.04244777003625547,-0.05202984818204261,-0.1006244734220006,0.8990244290236181,0.00665746851042424,0.03553290784097542,0.05307453103599881,0.0065500887869586084
Oppervlakte_Water_VSK_m2,-0.09416288487188305,-0.19682401611200015,-0.02740447778404693,-0.08724455738324176,-0.04833850350184722,0.4575352398811648,0.012356520087705726,0.024755251327212298,0.5959704869695834,0.02949111413041199
