,Thema
SHDTot_Op_percOp_AHN5_BK,Factor1
SHDTot_NO_percNO_AHN3_BK,Factor1
SHDTot_NO_percNO_AHN4_BK,Factor1
SHDTot_NO_percNO_AHN5_BK,Factor1
SHDGrijs_percLand_AHN3_BK,Factor1
SHDGrijs_percLand_AHN4_BK,Factor1
SHDGrijs_percLand_AHN5_BK,Factor1
SHDGrijs_Op_percOp_AHN3_BK,Factor1
SHDGrijs_Op_percOp_AHN4_BK,Factor1
SHDGrijs_Op_percOp_AHN5_BK,Factor1
SHDGrijs_NO_percNO_AHN3_BK,Factor1
SHDGrijs_NO_percNO_AHN4_BK,Factor1
SHDGrijs_NO_percNO_AHN5_BK,Factor1
SHDGroen_percLand_AHN3_BK,Factor1
SHDGroen_percLand_AHN4_BK,Factor1
SHDGroen_percLand_AHN5_BK,Factor1
SHDGroen_Op_percOp_AHN3_BK,Factor1
SHDGroen_Op_percOp_AHN4_BK,Factor1
SHDGroen_Op_percOp_AHN5_BK,Factor1
SHDGroen_NO_percNO_AHN3_BK,Factor1
SHDGroen_NO_percNO_AHN4_BK,Factor1
SHDGroen_NO_percNO_AHN5_BK,Factor1
SHDTot_LVR_percLVR_AHN3_BK,Factor5
SHDTot_LVR_percLVR_AHN4_BK,Factor5
SHDTot_LVR_percLVR_AHN5_BK,Factor5
SHDGrijs_LVR_percLVR_AHN3_BK,Factor5
SHDGrijs_LVR_percLVR_AHN4_BK,Factor5
SHDGrijs_LVR_percLVR_AHN5_BK,Factor5
SHDGroen_LVR_percLVR_AHN3_BK,Factor5
SHDGroen_LVR_percLVR_AHN4_BK,Factor5
SHDGroen_LVR_percLVR_AHN5_BK,Factor5
PET29tm34pAHN4,Factor4
PET35tm40pAHN4,Factor2
PET41tm45pAHN4,Factor2
PET46tm50pAHN4,Factor2
PET51pluspAHN4,Factor2
PET_NDpAHN4,Factor2
PET29tm34pAHN2,Factor4
PET35tm40pAHN2,Factor2
PET41tm45pAHN2,Factor2
PET46tm50pAHN2,Factor2
PET51pluspAHN2,Factor8
PET_NDpAHN2,Factor2
PDrogePlek,Factor4
P_tot20cm,
P_20tot50cm,
P_50tot200cm,
P_200pluscm,
Shape_Length,Factor6
Shape_Area,Factor6
