Thema;Titel dataset in de kaartviewer;Datasetnaam in downloadfolder;Varianten van dataset;Klimaatscenario's;Kennisinstelling/bronhouder;Publicatiedatum op KEA;Oorspronkelijke publicatiedatum (indien afwijkend van KEA);Resolutie;Eenheden;Attribuutvelden ter visualisatie;Link kaartverhaal NL;Map narrative ENG;Aanvullend Kaartverhaal / Informatie;Additional map explanation / information ENG;Link NGR;WMS-laag
Overstroming;"Verandering waterstanden bij norm | 1m zeespiegelstijging
Verandering waterstanden bij norm | 3m zeespiegelstijging
Toename minimale kruinhoogte bij norm | 1m zeespiegelstijging
Toename minimale kruinhoogte bij norm | 3m zeespiegelstijging";"VeranderingWaterstandbijNorm1mZeespiegelstijging.gpkg
VeranderingWaterstandbijNorm3mZeespiegelstijging.gpkg
ToenameMinimaleKruinhoogtebijNorm1mZeespiegelstijging.gpkg
ToenameMinimaleKruinhoogtebijNorm3mZeespiegelstijging.gpkg";1m & 3m zeespiegelstijging;1 of 3 meter stijging (geen scenario/jaartal);Kennisprogramma Zeespiegelstijging;2025;;;categorieën in meters;"Rule based o.b.v.:
VeranderingWaterstandbijNorm1mZeespiegelstijging: L2200L2050
VeranderingWaterstandbijNorm3mZeespiegelstijging: E2200L2050
ToenameMinimaleKruinhoogtebijNorm1mZeespiegelstijging: L2200L2050
ToenameMinimaleKruinhoogtebijNorm3mZeespiegelstijging: E2200L2050";https://www.klimaateffectatlas.nl/nl/zeespiegelstijging-en-waterstanden;https://www.klimaateffectatlas.nl/en/sea-level-rise-and-water-levels;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/6651bb33-7b53-471b-95a5-031938f61222;"Veranderingwaterstandbijnormbij1mzeespiegelstijging
Veranderingwaterstandbijnormbij3mzeespiegelstijging
Toenamehoogtedijkenenduinenbijnormbij1mzeespiegelstijging
Toenamehoogtedijkenenduinenbijnormbij3mzeespiegelstijging"
Basiskaarten;"Basiskaart natuurlijk systeem hoofdtypen
Basiskaart natuurlijk systeem eenheden";"Basiskaart Natuurlijk Systeem Nederland Hoofdklasse.gpkg
Basiskaart Natuurlijk Systeem Nederland Subklasse.gpkg";hoofdklasse & subklasse;n.v.t.;Geo-Inspiratie & GrondRR;2023;;"hoofdklassen
25x25 meter";klassen natuurlijke systemen;"Hoofdklasse: gridcode
Subklasse: BKNSN_code";https://www.klimaateffectatlas.nl/nl/basiskaart-natuurlijk-systeem-nederland;https://www.klimaateffectatlas.nl/en/base-map-of-the-netherlands-natural-system;;;;"bknsn_hoofdklasse
bkns_subklasse_2023_dreigingen_kansen"
Basiskaarten;"Boomkroonbedekking
Landbedekking
Openbaar- en niet-openbaar gebied";"bkb_2024.tif
landbedekking_2024.tif
ONO_2024.tif
VSK_2024.tif";huidig;n.v.t.;Friedenau;2025;;CBS buurtniveau;Categorieën percentages;;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-verharding;https://www.klimaateffectatlas.nl/en/green-and-grey-base-map;;;;
Basiskaarten;"Percentage schaduw op fiets- en wandelpaden - buurtniveau
Percentage schaduw op fiets- en wandelpaden (zoom in)";"Schaduwkaart fiets en wandelpaden buurten.gpkg
Schaduwkaart fiets en wandelpaden.gpkg";buurt & fiets/wandelpad niveau;n.v.t.;Cobra Groeninzicht;2024;;CBS buurtniveau / fiets en wandelpaden;Categorieën percentages;"Schaduwkaart fiets en wandelpaden buurten = P_scha_fw
Schaduwkaart fiets en wandelpaden = Ptot_schad";https://www.klimaateffectatlas.nl/nl/schaduw-op-wandel-en-fietspaden;https://www.klimaateffectatlas.nl/en/shaded-footpaths-and-cycle-tracks;;;;"schaduwkaart_fiets_en_wandelpaden
buurten_schaduwkaart_fiets_en_wandelpaden"
Basiskaarten;Kansenkaart natuurlijke klimaatbuffers;TotaalkaartKlimaatbuffers.gpkg;huidig;n.v.t.;Coalitie Natuurlijke Klimaatbuffers & Hydrologic;2021;;;Type klimaatbuffers;Legenda;https://www.klimaateffectatlas.nl/nl/kansenkaart-natuurlijke-klimaatbuffers;https://www.klimaateffectatlas.nl/en/opportunity-map-natural-climate-buffers;;;;totaalkaartklimaatbuffers
Basiskaarten;"Wijktypologie - Buurtniveau
Wijktypologie - Postcode 6-gebieden";"Wijktypen buurten.gpkg
Wijktypen Postcode 6 gebieden.gpkg";buurten & postcode 6;n.v.t.;Hogeschool van Amsterdam;2023;;"CBS buurtniveau
Postcode 6";Wijktypen;WijktypeDef;https://www.klimaateffectatlas.nl/nl/wijktypologie;https://www.klimaateffectatlas.nl/en/neighbourhood-typology;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/765a920b-1a0e-4596-a2cf-f39d0609ef6a;"wijktypen_buurten
wijktypen_PC6"
Basiskaarten;Werkregiogrenzen;WerkregioGrenzen_14012022.gpkg;huidig;n.v.t.;Deltaplan Ruimtelijke Adaptatie;2025;2022;Werkregio's;n.v.t.;n.v.t.;;;https://klimaatadaptatienederland.nl/beleid/nationale-aanpak/dpra/organisatie/werkregio/;;;werkregiogrenzen14012022
waterkwaliteit;Ligging grensvlak tussen zoet en zout grondwater;Ligging grensvlak tussen zoet en zout grondwater.tif;huidig;n.v.t.;Rijkswaterstaat, Deltares, Arcadis, Hydrologic & Ministerie van Infrastructuur en Waterstaat;2024;;250x250 meter;meter NAP;n.v.t.;https://www.klimaateffectatlas.nl/nl/verzilting-door-zeespiegelstijging;https://www.klimaateffectatlas.nl/en/salinisation-as-a-result-of-sea-level-rise;;;;ligging_grensvlak_tussen_zoet_en_zout_grondwater
waterkwaliteit;"Oppverlaktewaterverzilting 0m zeespiegelstijging
Oppverlaktewaterverzilting 0,5m zeespiegelstijging
Oppverlaktewaterverzilting 3m zeespiegelstijging";"Oppervlaktewaterverzilting_0mZSS_500m3Rijn.gpkg
Oppervlaktewaterverzilting_0mZSS_1000m3Rijn.gpkg
Oppervlaktewaterverzilting_0mZSS_2000m3Rijn.gpkg
Oppervlaktewaterverzilting_1mZSS_500m3Rijn.gpkg
Oppervlaktewaterverzilting_1mZSS_1000m3Rijn.gpkg
Oppervlaktewaterverzilting_1mZSS_2000m3Rijn.gpkg
Oppervlaktewaterverzilting_3mZSS_500m3Rijn.gpkg
Oppervlaktewaterverzilting_3mZSS_1000m3Rijn.gpkg
Oppervlaktewaterverzilting_3mZSS_2000m3Rijn.gpkg
Oppervlaktewaterverzilting_05mZSS_500m3Rijn.gpkg
Oppervlaktewaterverzilting_05mZSS_1000m3Rijn.gpkg
Oppervlaktewaterverzilting_05mZSS_2000m3Rijn.gpkg";0m, 0,5m 1m & 3m zeespiegelstijging voor 500m3, 1000m3 & 2000m3 Rijn;0,5m, 1m of 3m stijging (geen scenario/jaartal);Rijkswaterstaat, Deltares, Arcadis, Hydrologic & Ministerie van Infrastructuur en Waterstaat;2024;;250x250 meter;"mg Cl/l:
1 = Zoet | < 150 mg Cl/l
2 = Matig zoet | 150 - 300 mg Cl/l
3 = Licht brak | 300-1000 mg Cl/l
4 = Zwak brak | 1000-3000 mg Cl/l
5 = Brak | 3000-10000 mg Cl/l
6 = Sterk brak tot zout | >10000";Verz_klasse;https://www.klimaateffectatlas.nl/nl/verzilting-door-zeespiegelstijging;https://www.klimaateffectatlas.nl/en/salinisation-as-a-result-of-sea-level-rise;;;;"Oppervlaktewaterverzilting_0m_ZSS_500m3_Rijn
Oppervlaktewaterverzilting_0m_ZSS_1000m3_Rijn
Oppervlaktewaterverzilting_0m_ZSS_2000m3_Rijn
Oppervlaktewaterverzilting_05m_ZSS_500m3_Rijn
Oppervlaktewaterverzilting_05m_ZSS_1000m3_Rijn
Oppervlaktewaterverzilting_05m_ZSS_2000m3_Rijn
Oppervlaktewaterverzilting_3mZSS_500m3_Rijn
Oppervlaktewaterverzilting_3m_ZSS_1000m3_Rijn
Oppervlaktewaterverzilting_3m_ZSS_2000m3_Rijn
Oppervlaktewaterverzilting_1m_ZSS_500m3_Rijn
Oppervlaktewaterverzilting_1m_ZSS_2000m3_Rijn
Oppervlaktewaterverzilting_1m_ZSS_1000m3_Rijn"
waterkwaliteit;Verandering doorspoelwatervraag;"Verandering doorspoelwatervraag 0_5m ZSS.gpkg
Verandering doorspoelwatervraag 1m ZSS.gpkg
Verandering doorspoelwatervraag 3m ZSS.gpkg";0,5 m, 1m & 3m zeespiegelstijging;0,5m, 1m of 3m stijging (geen scenario/jaartal);Rijkswaterstaat, Deltares, Arcadis, Hydrologic & Ministerie van Infrastructuur en Waterstaat;2024;;polders;categorieën percentage toename doorspoelwatervraag;"Verandering doorspoelwatervraag 0_5m ZSS = waterv_05 
Verandering doorspoelwatervraag 1m ZSS = waterv_1
Verandering doorspoelwatervraag 3m ZSS = waterv_3";https://www.klimaateffectatlas.nl/nl/verzilting-door-zeespiegelstijging;https://www.klimaateffectatlas.nl/en/salinisation-as-a-result-of-sea-level-rise;;;;"Verandering_doorspoelwatervraag_05m_ZSS
Verandering_doorspoelwatervraag_1m_ZSS
Verandering_doorspoelwatervraag_3m_ZSS"
