Buurtcode,score,thema,methode,thema_kort
BU19401903,0.299445612338354,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401904,0.43485217260267134,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401905,0.2614578001580572,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401906,0.14749657418962264,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401907,0.17785514144747386,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401908,0.19217931551121598,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401909,0.0745316202169716,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19401910,0.21050808579615482,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194020,0.09983441387389123,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402001,0.09983441387389123,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194021,0.14949156888888573,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402101,0.14949156888888573,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194022,0.13644088771169113,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402201,0.14254720536036522,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194023,0.19750718810908677,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402301,0.16415193872232417,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402302,0.06370347816158642,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402303,0.3250717590777739,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402304,0.2298559535298194,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402305,0.1078453558057102,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402306,0.3334783168737214,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402307,0.31357637860169424,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402308,0.1766893669974388,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194024,0.11369488558736676,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402401,0.11369488558736676,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194025,0.09602551626734912,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402501,0.09602551626734912,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194026,0.13501126874381106,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402601,0.13501126874381106,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194027,0.12175800179022281,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402701,0.12175800179022281,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194028,0.1712041042161706,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402801,0.1240724709279297,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402802,0.19795884683082,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194029,0.11611628487795131,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19402901,0.11611628487795131,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194030,0.1427059306950275,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403001,0.1427059306950275,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194031,0.15701186545611356,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403101,0.15701186545611356,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194032,0.12889245191774845,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403201,0.12889245191774845,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194033,0.1065419892357431,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403301,0.1065419892357431,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194034,0.13837575733877805,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403401,0.13837575733877805,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194035,0.09786553384150257,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403501,0.09786553384150257,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194036,0.12102785913509496,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403601,0.12102785913509496,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194037,0.18002721956745796,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403701,0.18002721956745796,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194038,0.12925000551469082,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403801,0.12925000551469082,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194039,0.10501843019312625,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19403901,0.10501843019312625,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194040,0.13839549457693778,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404001,0.13839549457693778,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194041,0.21337686888676172,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404101,0.21337686888676172,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194042,0.13217739873214168,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404201,0.13217739873214168,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194043,0.132009380530529,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404301,0.132009380530529,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194044,0.1211908647519097,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404401,0.1211908647519097,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194045,0.1167910402345844,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404501,0.1167910402345844,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194046,0.15513293424411678,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404601,0.15513293424411678,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194047,0.1075654424213929,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404701,0.1075654424213929,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194048,0.11493558973876952,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404801,0.14219339411745469,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194049,0.15034040906796486,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19404901,0.15034040906796486,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194050,0.11895591070257275,Woningmarkt_Eigendom,entropy,Woningmarkt
BU19405001,0.11895591070257275,Woningmarkt_Eigendom,entropy,Woningmarkt
WK194051,0.1429557874704112,Woningmarkt_Eigendom,entropy,Woningmarkt
